date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
1-Mar,24,19,22,-7.4,84,17,20,43,0,713,1829,"SN,FZFG,BR,FG,PL",0.59,7.2,2,28.94,29.9,13.1,35,330,24,330
2-Mar,27,11,19,-10.8,65,9,17,46,0,711,1830,"SN,BR",T,T,7,29.11,30.12,9.7,24,260,20,260
3-Mar,28,9,18,-12.1,78,14,19,47,0,710,1831,"SN,BR",0.04,0.7,7,29.18,30.16,3.7,12,40,10,30
4-Mar,34,5,20,-10.4,62,11,19,45,0,708,1833,"SN,FZFG,BR,FG",T,T,7,29.21,30.2,2.2,13,200,9,280
5-Mar,33,24,28,-2.8,84,24,27,37,0,706,1834,"SN,FZFG,BR,HZ,FG",0.09,1,8,29.16,30.15,5.4,13,140,10,140
6-Mar,41,14,28,-3.1,80,23,27,37,0,705,1835,"FZFG,BR,HZ,FG",0,0,8,29.25,30.19,8.2,25,190,21,190
7-Mar,58,41,50,18.5,65,37,43,15,0,703,1836,,0,0,7,29,29.95,10.9,27,210,22,210
8-Mar,70,49,60,28.2,61,46,52,5,0,701,1837,,0,0,T,29,29.94,12,32,210,25,210
9-Mar,68,56,62,29.8,72,52,56,3,0,659,1839,RA,T,0,0,28.97,29.9,11,33,220,26,220
10-Mar,57,41,49,16.4,81,44,47,16,0,658,1840,"RA,BR",T,0,0,29.08,30.04,6.5,19,310,15,310
11-Mar,55,31,43,10.1,68,32,38,22,0,656,1841,,0,0,0,29.36,30.34,4.1,18,170,14,170
12-Mar,59,29,44,10.7,71,36,41,21,0,654,1842,"FG,BR",0,0,0,29.24,30.17,2.5,13,180,10,190
13-Mar,49,44,46,12.3,85,41,44,19,0,653,1843,"RA,BR",1.01,0,0,28.99,29.9,9.2,23,110,17,110
14-Mar,52,45,48,13.9,89,46,48,17,0,651,1845,"RA,BR",0.04,0,0,28.74,29.7,7.3,17,250,14,270
15-Mar,57,41,49,14.5,81,43,45,16,0,649,1846,"RA,FG,BR",0.04,0,0,28.86,29.79,8.1,26,190,21,90
16-Mar,56,46,51,16.1,63,37,44,14,0,647,1847,"RA,BR",0.08,0,0,28.64,29.57,21.6,56,250,41,240
17-Mar,50,33,42,6.7,53,28,37,23,0,646,1848,RA,T,0,0,28.83,29.79,15.9,43,270,33,260
18-Mar,48,29,38,2.3,73,28,33,27,0,644,1849,,0,T,0,29.05,30.05,5.5,18,40,14,30
19-Mar,40,25,32,-4.1,61,20,28,33,0,642,1850,,0,0,0,29.24,30.22,9.2,23,30,16,40
20-Mar,43,22,32,-4.5,57,18,27,33,0,640,1852,,0,0,0,29.19,30.15,7.1,19,280,15,270
21-Mar,45,27,36,-0.9,51,18,30,29,0,639,1853,,0,0,0,29.15,30.11,7.8,23,290,17,270
22-Mar,60,33,46,8.6,54,30,39,19,0,637,1854,RA,T,0,0,28.92,29.83,7.7,26,220,21,230
23-Mar,47,33,40,2.2,88,33,35,25,0,635,1855,"RA,BR,UP",0.14,0,0,28.97,29.94,12.9,26,40,21,60
24-Mar,39,29,34,-4.2,93,33,34,31,0,633,1856,"RA,SN,BR,UP",0.64,T,0,28.71,29.64,10.2,23,350,18,330
25-Mar,44,26,35,-3.6,71,25,30,30,0,632,1857,,0,T,0,29.03,30.05,6.5,22,320,16,320
26-Mar,52,26,39,-0.1,68,29,35,26,0,630,1859,BR,0,0,0,29.26,30.23,7.5,17,150,14,150
27-Mar,70,34,52,12.5,62,37,44,13,0,628,1900,RA,0.06,0,0,29.04,29.94,10,28,200,21,290
28-Mar,46,34,40,0.1,81,36,39,25,0,626,1901,"RA,BR",0.29,0,0,28.94,29.94,12.3,32,290,23,310
29-Mar,51,29,40,-0.3,59,25,34,25,0,624,1902,,0,0,0,29.32,30.29,4.7,14,20,10,140
30-Mar,61,35,48,7.2,59,34,43,17,0,623,1903,RA,0.06,0,0,29.04,29.92,13.5,34,190,25,190
31-Mar,63,43,53,11.8,85,51,53,12,0,621,1904,"TS,RA,BR",1.17,0,0,28.51,29.42,17.3,43,190,32,190
1-Apr,49,34,42,0.4,67,31,37,23,0,619,1905,"RA,BR",0.01,0,0,28.71,29.67,12.6,27,250,22,290
2-Apr,38,25,32,-10,75,25,29,33,0,618,1907,"SN,FG,FZFG,BR,UP,HZ",0.16,1.7,T,28.68,29.65,10.4,36,340,24,340
3-Apr,52,20,36,-6.5,69,24,30,29,0,616,1908,"RA,SN",0.04,T,1,28.92,29.86,10.9,27,180,21,190
4-Apr,33,24,28,-14.9,75,22,27,37,0,614,1909,"SN,BR,HZ",T,T,0,29.07,30.11,11.6,28,340,22,30
5-Apr,42,19,30,-13.3,56,16,26,35,0,612,1910,HZ,0.01,T,0,29.44,30.4,6.8,29,130,22,130
6-Apr,47,32,40,-3.7,78,33,37,25,0,611,1911,"RA,BR,HZ",0.06,T,0,28.79,29.68,12.6,28,150,22,150
7-Apr,39,31,35,-9.2,84,30,33,30,0,609,1912,"RA,SN,FG,BR",0.18,0.2,0,28.59,29.57,10.7,29,320,22,310
8-Apr,40,26,33,-11.6,74,24,29,32,0,607,1913,"SN,FG,BR,HZ",0.25,4.7,0,28.82,29.78,7.9,27,40,22,40
9-Apr,32,23,28,-17,58,14,23,37,0,606,1915,"SN,FZFG,BR,UP,FG",0.02,0.2,4,29.13,30.15,9.4,29,20,21,20
10-Apr,41,27,34,-11.4,80,26,30,31,0,604,1916,"RA,FZRA,SN,BR,HZ",0.57,0.7,T,29.08,30,13.8,31,160,25,160
11-Apr,53,34,44,-1.8,70,35,41,21,0,602,1917,"RA,BR,HZ",0.03,0,0,28.88,29.86,13.1,37,300,29,290
12-Apr,47,30,38,-8.2,57,24,33,27,0,601,1918,,0,0,0,29.3,30.3,7.1,22,320,17,350
13-Apr,53,29,41,-5.6,55,27,36,24,0,559,1919,,0,0,0,29.41,30.38,6.9,18,150,15,140
14-Apr,60,31,46,-1,51,28,38,19,0,557,1920,,0,0,0,29.38,30.34,6.5,19,100,15,90
15-Apr,70,33,52,4.6,47,31,43,13,0,556,1921,,0,0,0,29.34,30.3,5.6,20,120,15,140
16-Apr,76,40,58,10.3,40,34,48,7,0,554,1923,,0,0,0,29.41,30.36,6.1,19,160,13,120
17-Apr,78,41,60,11.9,41,36,50,5,0,552,1924,,0,0,0,29.46,30.4,2.9,12,110,9,110
18-Apr,81,50,66,17.5,43,42,53,0,1,551,1925,,0,0,0,29.35,30.28,7.1,25,50,18,50
19-Apr,62,43,52,3.1,62,37,44,13,0,549,1926,RA,0.01,0,0,29.34,30.3,10,25,40,18,50
